Hitch Rack - 4-Bike,Accessories,Bike Racks,45,328,39360,120,328,325,12,High-Performer,142,120,3280
Mountain-500 Silver- 48,Bikes,Mountain Bikes,308,50,28250,565,50,50,11,High-Performer,143,565,2568
Mountain-100 Black- 44,Bikes,Mountain Bikes,1898,60,202500,3375,60,60,11,High-Performer,167,3375,18409
Long-Sleeve Logo Jersey- L,Clothing,Jerseys,38,452,22650,50,453,449,13,High-Performer,142,50,1742
LL Road Tire,Accessories,Tires and Tubes,8,1044,21924,21,1044,1030,13,High-Performer,142,21,1686
Mountain-500 Silver- 40,Bikes,Mountain Bikes,308,45,25425,565,45,45,11,High-Performer,143,565,2311
Mountain-200 Silver- 42,Bikes,Mountain Bikes,1266,560,1257368,2245.3,560,547,24,High-Performer,143,2245,52390
Mountain-100 Silver- 38,Bikes,Mountain Bikes,1912,58,197200,3400,58,58,12,High-Performer,167,3400,16433
Short-Sleeve Classic Jersey- M,Clothing,Jerseys,42,407,21978,54,407,404,13,High-Performer,142,54,1690
Patch Kit/8 Patches,Accessories,Tires and Tubes,1,3191,6382,2,3191,2950,13,High-Performer,142,2,490
Road-350-W Yellow- 44,Bikes,Road Bikes,1083,216,367416,1701,216,216,11,High-Performer,143,1701,33401
Long-Sleeve Logo Jersey- XL,Clothing,Jerseys,38,413,20700,50,414,409,12,High-Performer,142,50,1725
Road-650 Red- 44,Bikes,Road Bikes,487,72,54528,757.3,72,72,23,High-Performer,155,757,2370
Touring-1000 Yellow- 50,Bikes,Touring Bikes,1482,151,359984,2384,151,150,12,High-Performer,143,2384,29998
Road-750 Black- 44,Bikes,Road Bikes,344,360,194400,540,360,360,12,High-Performer,143,540,16200
Fender Set - Mountain,Accessories,Fenders,8,2121,46662,22,2121,2110,13,High-Performer,142,22,3589
Mountain-100 Silver- 48,Bikes,Mountain Bikes,1912,36,122400,3400,36,36,11,High-Performer,167,3400,11127
HL Road Tire,Accessories,Tires and Tubes,12,858,28314,33,858,820,13,High-Performer,142,33,2178
Racing Socks- L,Clothing,Socks,3,270,2430,9,270,269,13,Low-Performer,142,9,186
Touring-2000 Blue- 60,Bikes,Touring Bikes,755,81,98415,1215,81,81,12,High-Performer,143,1215,8201
Touring-3000 Blue- 44,Bikes,Touring Bikes,461,53,39326,742,53,53,11,High-Performer,143,742,3575
AWC Logo Cap,Clothing,Caps,7,2190,19710,9,2190,2132,13,High-Performer,142,9,1516
Road-650 Black- 48,Bikes,Road Bikes,487,60,45552,759.2,60,60,21,High-Performer,155,759,2169
Long-Sleeve Logo Jersey- M,Clothing,Jerseys,38,442,22100,50,442,436,13,High-Performer,142,50,1700
Road-250 Red- 52,Bikes,Road Bikes,1519,133,324919,2443,133,133,12,High-Performer,155,2443,27076
Road-250 Black- 52,Bikes,Road Bikes,1555,319,734425,2302.3,319,312,24,High-Performer,143,2302,30601
Women's Mountain Shorts- S,Clothing,Shorts,26,304,21280,70,304,304,12,High-Performer,142,70,1773
Road-550-W Yellow- 48,Bikes,Road Bikes,713,261,283680,1086.9,261,258,22,High-Performer,143,1086,12894
Touring-1000 Yellow- 54,Bikes,Touring Bikes,1482,158,376672,2384,158,158,11,High-Performer,143,2384,34242
